id	m49_code	display_name	full_name	is_ldc	is_lldc	is_sids	development_status	m49_region_id	m49_sub_region_id	m49_intermediate_region_id
ABW	533	Aruba	Aruba	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
AFG	4	Afghanistan	Afghanistan	1	1	0	developing	asia	southern_asia	NULL
AGO	24	Angola	Angola	1	0	0	developing	africa	sub_saharan_africa	middle_africa
AIA	660	Anguilla	Anguilla	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
ALA	248	Åland Islands	Åland Islands	0	0	0	developed	europe	northern_europe	NULL
ALB	8	Albania	Albania	0	0	0	developed	europe	southern_europe	NULL
AND	20	Andorra	Andorra	0	0	0	developed	europe	southern_europe	NULL
ARE	784	United Arab Emirates	United Arab Emirates	0	0	0	developing	asia	western_asia	NULL
ARG	32	Argentina	Argentina	0	0	0	developing	americas	latin_america_and_the_caribbean	south_america
ARM	51	Armenia	Armenia	0	1	0	developing	asia	western_asia	NULL
ASM	16	American Samoa	American Samoa	0	0	1	developing	oceania	polynesia	NULL
ATA	10	Antarctica	Antarctica	0	0	0	NULL	NULL	NULL	NULL
ATF	260	French Southern Territories	French Southern Territories	0	0	0	developing	africa	sub_saharan_africa	eastern_africa
ATG	28	Antigua and Barbuda	Antigua and Barbuda	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
AUS	36	Australia	Australia	0	0	0	developed	oceania	australia_and_new_zealand	NULL
AUT	40	Austria	Austria	0	0	0	developed	europe	western_europe	NULL
AZE	31	Azerbaijan	Azerbaijan	0	1	0	developing	asia	western_asia	NULL
BDI	108	Burundi	Burundi	1	1	0	developing	africa	sub_saharan_africa	eastern_africa
BEL	56	Belgium	Belgium	0	0	0	developed	europe	western_europe	NULL
BEN	204	Benin	Benin	1	0	0	developing	africa	sub_saharan_africa	western_africa
BES	535	Bonaire, Sint Eustatius and Saba	Bonaire, Sint Eustatius and Saba	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
BFA	854	Burkina Faso	Burkina Faso	1	1	0	developing	africa	sub_saharan_africa	western_africa
BGD	50	Bangladesh	Bangladesh	1	0	0	developing	asia	southern_asia	NULL
BGR	100	Bulgaria	Bulgaria	0	0	0	developed	europe	eastern_europe	NULL
BHR	48	Bahrain	Bahrain	0	0	0	developing	asia	western_asia	NULL
BHS	44	Bahamas	Bahamas	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
BIH	70	Bosnia and Herzegovina	Bosnia and Herzegovina	0	0	0	developed	europe	southern_europe	NULL
BLM	652	Saint-Barthélemy	Saint-Barthélemy	0	0	0	developing	americas	latin_america_and_the_caribbean	caribbean
BLR	112	Belarus	Belarus	0	0	0	developed	europe	eastern_europe	NULL
BLZ	84	Belize	Belize	0	0	1	developing	americas	latin_america_and_the_caribbean	central_america
BMU	60	Bermuda	Bermuda	0	0	0	developed	americas	northern_america	NULL
BOL	68	Bolivia	Bolivia (Plurinational State of)	0	1	0	developing	americas	latin_america_and_the_caribbean	south_america
